2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0.005193,0.006792,0.006201,0.009402,0.001200,0.001998,0.005191,0.002596,0.009986,0.006821,0.008025,0.010001,0.002791,0.006186,0.009381,0.008028,0.010792,0.009984,0.005387,0.003392,0.006410,0.003602,0.002599
0.119684,0.046628,0.075193,0.118862,0.013017,0.018206,0.035986,0.014909,0.122577,0.062455,0.088543,0.108489,0.036361,0.109999,0.116646,0.103439,0.136194,0.125930,0.035467,0.026103,0.049155,0.032651,0.022283
0.322087,0.146470,0.139256,0.283210,0.047636,0.032989,0.069954,0.047477,0.289411,0.125709,0.204646,0.265039,0.111709,0.288914,0.243658,0.267411,0.335513,0.283153,0.095530,0.051896,0.118350,0.092650,0.061230
0.410645,0.262841,0.239940,0.392927,0.056438,0.029210,0.132888,0.074577,0.401023,0.143352,0.238086,0.412657,0.215701,0.406739,0.252537,0.417735,0.493054,0.451677,0.177692,0.061361,0.187710,0.156817,0.071572
0.441148,0.341061,0.329741,0.391558,0.063661,0.049957,0.178075,0.074421,0.414271,0.208502,0.239600,0.467665,0.276724,0.509257,0.301399,0.504185,0.583506,0.484855,0.298753,0.066557,0.283734,0.140520,0.080925
0.517445,0.280591,0.258375,0.324980,0.054595,0.061433,0.185754,0.079140,0.329372,0.163721,0.290732,0.477556,0.244795,0.405222,0.359503,0.532046,0.564119,0.409134,0.354592,0.069720,0.338574,0.183673,0.074051
0.353356,0.171345,0.206627,0.285338,0.038826,0.060073,0.197131,0.066868,0.200383,0.130338,0.249291,0.349347,0.168974,0.286687,0.235990,0.466083,0.447228,0.314629,0.346644,0.068448,0.322563,0.140893,0.059934
0.285637,0.113249,0.138238,0.155016,0.024420,0.042827,0.114721,0.039287,0.101954,0.078026,0.164202,0.208850,0.117418,0.247720,0.112642,0.301693,0.273949,0.211829,0.216230,0.045302,0.207278,0.090865,0.031170
0.080480,0.035753,0.056555,0.066607,0.010615,0.018992,0.060888,0.013388,0.037194,0.031429,0.063612,0.059427,0.060264,0.074986,0.037140,0.107544,0.101667,0.064959,0.075389,0.018930,0.104171,0.039516,0.010807
0.004803,0.001601,0.005001,0.007405,0.000601,0.001397,0.003198,0.000397,0.002191,0.001400,0.005197,0.002594,0.004594,0.002792,0.001794,0.006202,0.005006,0.005007,0.005578,0.000800,0.007387,0.003377,0.000396
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
