2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
7.854,-9.397,-4.002,-5.396,1.717,5.943,0.333,-0.775,-15.102,-3.331,-8.781,-1.388,-2.614,-16.981,-14.452,-6.494,-1.556,1.777,-10.77,-0.17,3.346,-2.002,-3.777
7.897,-9.835,-3.897,-5.396,2.212,5.838,0.053,-0.617,-15.883,-3.836,-8.673,-1.569,-3.166,-17.191,-13.79,-6.884,-1.834,2.058,-10.679,-0.111,2.96,-2.334,-4.329
8.044,-9.379,-3.722,-5.231,2.541,5.413,-0.112,-0.667,-16.28,-3.725,-8.846,-1.954,-3.41,-17.52,-15.599,-7.118,-1.441,1.734,-11.727,0.334,3.0,-2.809,-6.045
8.97,-9.001,-3.238,-5.571,2.742,5.412,-0.713,-0.169,-16.584,-3.413,-9.075,-2.441,-3.842,-16.794,-16.435,-6.723,-0.993,1.825,-11.007,0.557,3.358,-1.777,-5.981
9.989,-6.129,-2.062,-4.794,3.119,6.218,-0.809,1.329,-16.546,-3.044,-9.985,-1.286,-4.639,-14.686,-16.146,-5.823,0.667,1.943,-8.812,1.373,3.648,-0.671,-6.173
8.01,-4.999,-0.727,-4.449,3.533,6.293,-0.525,2.907,-15.16,-2.514,-9.107,0.022,-4.603,-12.394,-15.833,-3.81,2.113,2.005,-7.0,1.503,4.059,-0.13,-5.378
8.236,-3.676,0.992,-3.429,4.127,7.233,-0.683,4.141,-13.925,-2.58,-7.966,0.154,-4.608,-9.851,-14.701,-3.016,2.896,2.401,-5.749,2.888,4.62,0.205,-4.927
9.173,-2.447,1.466,-2.069,5.055,7.749,-0.319,6.741,-12.94,-2.044,-7.23,0.263,-3.991,-8.056,-13.554,-2.751,3.466,2.376,-4.929,3.41,5.15,0.658,-4.466
9.669,-1.559,2.329,-1.351,6.099,7.946,0.249,7.904,-12.168,-1.815,-6.278,0.385,-4.074,-6.733,-12.714,-2.46,4.557,2.542,-3.574,4.335,5.92,0.928,-4.849
8.76,-1.277,2.609,-0.575,6.336,7.512,0.265,8.356,-11.395,-2.288,-5.743,0.889,-4.609,-6.161,-12.073,-1.745,5.117,3.043,-3.435,4.44,6.397,1.316,-4.855
7.471,-1.224,2.228,-0.279,6.363,6.841,0.115,8.663,-11.641,-2.645,-4.556,0.719,-4.62,-6.347,-12.529,-1.843,5.111,5.068,-3.281,4.069,5.808,1.489,-5.382
7.824,-1.835,1.725,-0.333,6.792,6.794,0.164,7.672,-11.981,-2.551,-3.698,-0.386,-5.006,-6.71,-13.052,-2.229,3.729,5.76,-4.494,3.006,6.631,1.551,-4.726
7.008,-2.106,0.553,0.837,6.602,6.628,0.44,6.234,-12.996,-2.447,-3.635,-0.129,-5.448,-8.491,-14.162,-1.402,2.947,5.622,-6.05,2.114,5.898,1.607,-4.387
6.446,-2.497,-0.058,0.338,6.99,6.887,0.054,6.439,-13.786,-2.551,-3.12,-1.171,-5.727,-8.49,-15.216,-1.286,2.337,6.439,-6.715,0.896,6.383,1.165,-4.661
6.39,-2.66,-0.78,0.389,6.551,5.956,-0.664,5.886,-14.995,-3.499,-3.29,-1.89,-6.728,-8.295,-15.866,-1.516,1.452,5.888,-7.21,0.339,5.561,0.555,-4.395
6.557,-3.6,-1.617,0.5,6.382,6.107,-1.506,5.449,-15.174,-3.725,-3.062,-1.781,-7.175,-7.992,-16.435,-1.014,0.894,5.448,-7.11,0.172,5.611,0.495,-4.95
6.663,-4.492,-2.338,0.168,6.164,6.043,-2.283,5.556,-15.72,-3.783,-3.335,-1.997,-8.115,-8.651,-16.631,-0.233,0.665,5.445,-6.845,-0.054,5.341,0.164,-5.728
6.392,-5.218,-2.948,-0.274,6.384,5.612,-2.948,5.17,-15.731,-4.666,-3.281,-2.387,-8.67,-8.159,-17.379,0.544,0.172,4.889,-6.696,-0.44,5.223,-0.004,-5.899
5.823,-6.329,-3.722,-0.165,6.22,5.284,-3.003,4.952,-16.122,-5.444,-3.502,-2.395,-9.231,-7.773,-18.01,0.88,0.003,4.447,-6.912,-0.382,4.951,-0.11,-6.733
5.824,-6.781,-4.168,-0.223,5.675,4.614,-3.278,4.732,-15.836,-5.896,-3.114,-2.51,-10.054,-8.154,-18.409,1.707,-0.444,4.719,-6.954,-0.387,4.46,0.058,-8.108
6.281,-6.34,-4.442,0.387,6.113,4.949,-3.889,4.348,-15.233,-6.061,-3.216,-2.672,-10.351,-7.926,-18.88,1.502,-1.216,4.334,-6.788,-1.052,4.889,-0.003,-8.497
6.66,-6.833,-4.452,0.557,6.225,4.507,-4.445,4.508,-14.571,-6.556,-3.324,-3.284,-10.629,-7.438,-19.182,1.994,-1.996,4.169,-6.511,-1.214,4.336,-0.221,-8.666
6.166,-6.502,-5.164,0.172,5.899,4.229,-5.277,3.953,-13.906,-7.109,-3.933,-3.944,-11.125,-7.541,-19.021,2.269,-2.378,3.394,-5.903,-1.33,4.006,-0.282,-9.661
6.122,-6.442,-5.555,-0.163,6.221,3.674,-5.443,3.176,-12.966,-7.34,-4.332,-3.833,-12.111,-6.338,-19.199,3.216,-3.324,3.057,-6.014,-1.276,3.239,-0.446,-9.994
6.452,-6.49,-5.831,0.054,5.94,3.553,-6.386,2.615,-12.517,-6.612,-4.502,-4.056,-12.389,-6.339,-19.292,3.33,-3.717,2.772,-5.785,-1.334,3.344,-0.33,-9.39
6.781,-6.497,-7.053,0.274,5.619,2.78,-6.607,2.112,-11.366,-7.439,-4.729,-3.511,-12.617,-6.224,-19.447,2.998,-5.031,2.44,-5.174,-0.556,3.007,-0.115,-9.839
7.444,-7.153,-7.101,-0.88,5.459,2.599,-6.841,2.941,-11.733,-7.715,-5.987,-3.634,-12.332,-4.726,-18.53,2.544,-6.462,2.389,-5.944,-0.665,2.561,-0.997,-9.939
8.232,-6.275,-7.023,-0.733,5.301,2.938,-6.716,3.161,-10.053,-7.176,-6.045,-3.09,-12.455,-3.885,-17.178,2.525,-6.401,2.554,-5.713,-0.394,2.891,-0.731,-9.41
9.483,-5.134,-5.388,-1.76,5.752,4.054,-4.768,4.289,-8.327,-6.43,-5.11,-1.332,-11.227,-3.259,-14.922,2.56,-6.394,2.991,-5.662,1.233,3.117,-0.109,-7.8
9.792,-3.973,-4.165,-2.09,5.944,4.143,-3.489,5.116,-6.437,-4.505,-4.752,-0.147,-8.962,-1.556,-12.097,2.524,-6.985,3.661,-5.021,2.505,3.08,1.249,-5.16
9.782,-2.816,-2.609,-2.258,5.722,5.213,-2.04,6.584,-5.365,-2.572,-4.158,0.77,-7.445,-0.231,-9.318,2.404,-7.011,4.568,-4.805,3.177,3.645,2.111,-4.075
10.461,-2.085,-1.334,-3.032,6.411,6.044,-0.652,7.497,-3.745,-2.23,-2.803,1.539,-5.308,0.826,-8.053,3.047,-6.903,5.168,-3.919,4.401,3.41,2.94,-2.846
10.54,-1.782,-0.829,-2.188,6.027,6.297,-0.577,8.551,-2.42,-0.488,-1.678,2.22,-4.131,0.95,-6.566,4.09,-6.873,5.599,-2.623,4.917,4.216,4.254,-1.777
11.507,-1.058,-0.393,-1.723,5.876,6.195,-0.227,9.082,-1.949,-0.428,-1.286,2.608,-3.255,1.785,-5.607,5.235,-6.676,6.6,-2.108,5.356,4.98,4.696,-1.166
12.958,-0.728,-0.648,-1.658,5.82,6.452,-0.464,10.654,-1.945,-0.429,-1.498,2.064,-3.495,2.219,-4.779,5.362,-7.185,7.009,-2.724,5.077,5.377,4.709,-0.294
13.383,-0.839,-0.975,-1.722,6.239,6.153,-0.784,8.426,-2.496,-0.378,-2.72,1.72,-4.272,1.614,-5.056,6.449,-6.989,7.171,-2.778,4.235,5.993,3.056,-1.164
13.296,-1.545,-2.106,-1.111,5.481,4.882,-0.948,7.011,-2.506,-1.542,-3.22,0.389,-5.032,1.611,-5.722,6.825,-6.889,6.018,-2.672,2.899,6.213,1.676,-2.389
